Attribute	Value
Age	57
Attrition	FALSE
BusinessTravel	Travel_Rarely
DailyRate	334
Department	Research & Development
DistanceFromHome	24
Education	2
EducationField	Life Sciences
EmployeeCount	1
EmployeeNumber	2001
EnvironmentSatisfaction	3
Gender	Male
HourlyRate	83
JobInvolvement	4
JobLevel	3
JobRole	Healthcare Representative
JobSatisfaction	4
MaritalStatus	Divorced
MonthlyIncome	dontknow
MonthlyRate	23402
NumCompaniesWorked	3
Over18	Y
OverTime	Yes
PercentSalaryHike	16
PerformanceRating	3
RelationshipSatisfaction	2
StandardHours	80
StockOptionLevel	1
TotalWorkingYears	12
TrainingTimesLastYear	2
WorkLifeBalance	1
YearsAtCompany	5
YearsInCurrentRole	3
YearsSinceLastPromotion	1
YearsWithCurrManager	4
